"BFN","LICENSE_TYPE","LICENSE_SUB_TYPE","LICENSE_STATUS","EXPIRATION_DATE","ENTITY_NAME","ESTABLISHMENT_ADDRESS"
"2020-BFN-0004579","Food - Retail","Multi-Use","Pending","9/8/2020 8:29:45 AM","WESTERN HERITAGE LTD","3326 N Tejon St 101 Denver 80211"
"2020-BFN-0004807","Retail Tobacco Store","NA","Pending","9/18/2020 9:46:18 AM","DILLON COMPANIES","825 S Colorado BLVD  Denver 80246"
"2021-BFN-0001074","Retail Tobacco Store","NA","Pending","2/18/2021 6:25:41 PM","Daddy Dankz","2401 S Colorado BLVD  Denver 80222"
"2021-BFN-0000562","Combined License","NA","Pending","1/26/2021 4:24:11 PM","FEDERALES DENVER, LLC","2901  Larimer St  Denver "
"2021-BFN-0001378","Liquor","Special Events","Pending","3/5/2021 12:24:21 PM","Orphan Well Project","      "
"2021-BFN-0000479","Combined License","NA","Pending","1/22/2021 6:51:38 AM","SOLOMON LIQUOR INC","5680 N Tower Rd 100 Denver "
"2021-BFN-0000561","Short Term Rental","NA","Pending","1/26/2021 3:58:47 PM","BRANDON STUMP","1890  Wynkoop ST 803 Denver 80202"
"2021-BFN-0000837","Child Care Home","NA","Pending","2/9/2021 10:36:35 AM","LITTLE PEOPLES KINDER CARE LLC","4480 N Dunkirk Way  Denver 80249"
"2021-BFN-0001151","Retail Food Establishment","Restaurant","Pending","2/23/2021 11:18:50 AM","MT FOOD GROUP, LLC","4875 N Federal Blvd  Denver 80221"
"2021-BFN-0001332","Boarding Home","NA","Pending","3/4/2021 9:26:37 AM","CENTER OF HOPE","836 S Sheridan   Denver 80128"
"2021-BFN-0001299","Short Term Rental","NA","Pending","3/2/2021 5:45:25 PM","JARED MARQUETTE","2530 N Clarkson ST  Denver "
"2021-BFN-0000441","Child Care","Center","Pending","1/20/2021 3:53:55 PM","SUNRISE/SUNSET; MTR, LLC","2900 S Ivan WAY  Denver 80227"
"2021-BFN-0001408","Child Care","Center","Pending","3/8/2021 10:57:40 AM","Catholic Charities, Archdiocese of Denver","4440 N Navajo ST  Denver 80211"
"2021-BFN-0001034","Retail Food Establishment","Restaurant - Stand-Up","Pending","2/17/2021 12:37:48 PM","GLASS ARROW COFFEE LLC","8600 E Colfax Ave  Denver 80220"
"2021-BFN-0001324","Combined License","NA","Pending","3/3/2021 3:33:36 PM","PEGASUS RINO OWNER LLC","3770  Walnut St  Denver "
"2021-BFN-0000492","Child Care Home","NA","Pending","1/22/2021 12:04:26 PM","HAPPY LITTLE FACES LLC","5000 N Ursula Way  Denver 80239"
"2021-BFN-0000766","Retail Food Establishment","Restaurant","Pending","2/4/2021 7:37:13 AM","SOMIP INC","1195 S Colorado Blvd  Denver 80246"
"2021-BFN-0001496","Retail Food Establishment","Restaurant","Pending","3/11/2021 9:37:12 AM","NELLY'S KITCHEN LLC","3743 N Federal Blvd  Denver 80211"
"2021-BFN-0001590","Retail Food Establishment","Restaurant","Pending","3/17/2021 12:56:46 PM","BROADWAY INC","1300 S Broadway   Denver 80210"
"2021-BFN-0001621","Food - Retail","Milk, Dairy, Prepackaged Meats","Pending","3/18/2021 8:00:04 AM","SKY'S THE LIMIT INDUSTRIES LLC","8601 W Cross Dr F8 Denver 80123"
"2021-BFN-0002294","Liquor","Special Events","Pending","4/14/2021 5:57:51 PM","L&D Gives","      "
"2021-BFN-0002295","Retail Food Establishment","Restaurant - Temporary","Pending","4/14/2021 9:32:07 PM","Paz Distributors","8161  S Poplar Way I203    "
"2011-BFN-1057488","Garage - Repair of Motor Vehic","NA","Pending","5/15/2014 12:00:00 AM","AYN BROTHERS AUTO REPAIR","395 S FEDERAL BLVD UNIT 103 DENVER "
"2019-BFN-0003080","Private Security Employer","NA","Pending","4/11/2019 2:24:15 PM","Revel Social","      "
"2021-BFN-0002075","Combined License","NA","Pending","4/8/2021 8:39:31 AM","DD BEVERAGE LLC","290 W Alameda Ave  Denver 80223"
"2019-BFN-0011106","Garage - Repair of Motor Vehic","NA","Pending","11/25/2019 11:27:25 AM","COLORADO FRAME & SUSPENSION INC","4755 N Fox St  Denver 80216"
"2020-BFN-0002941","Waste Hauler","NA","Pending","6/10/2020 11:13:48 AM","DAILY ROLL OFF SERVICES LLC","11751  GRAPE ST  THORNTON 80233"
"2020-BFN-0002703","Swimming Pool","NA","Pending","5/27/2020 8:27:25 AM","JPI-VELO LLC","3481 S Fenton St  Denver 80227"
"2020-BFN-0002424","Retail Food Establishment","Restaurant - Temporary","Pending","5/8/2020 2:05:17 PM","Green Belly Foods Inc.","3605  MARTIN DR.    "
"2020-BFN-0002450","Retail Food Establishment","Restaurant","Pending","5/11/2020 10:35:51 AM","ALVARADO CONCEPTS LLC","5620 N Beeler St  Denver "
"2020-BFN-0002542","Retail Food Establishment","Restaurant","Pending","5/15/2020 8:17:45 AM","GARNER BROTHERS LLC","2000 S Colorado  IV-103/104 Denver 80222"
"2020-BFN-0001347","Retail Food Establishment","Restaurant","Pending","3/2/2020 1:36:30 PM","QUINCE COFFEE LLC","1447 N Quince St  Denver 80220"
"2020-BFN-0003031","Lodging Facility","NA","Pending","6/16/2020 10:14:15 AM","WESTSIDE LAND HOLDINGS","3303 N Navajo St  Denver 80211"
"2020-BFN-0003390","Retail Food Establishment","Restaurant","Pending","7/2/2020 11:16:42 AM","COLORADO INTERNATIONAL FLAVORS, INC","4116 E Colfax Ave  Denver 80220"
"2020-BFN-0003179","Food - Retail","Multi-Use","Pending","6/23/2020 8:51:30 AM","MEHRET ALEMA","3119 E Bruce Randolph Ave  Denver 80205"
"2020-BFN-0003568","Retail Food Establishment","Restaurant - Temporary","Pending","7/10/2020 12:58:38 PM","IMAGINE YOURSELF, LLC","5782  DISTANT VIEW PL    "
"2020-BFN-0003755","Parking Lot, Garage","NA","Pending","7/22/2020 11:07:29 AM","SP PLUS","1099  18th St  Denver 80202"
"2020-BFN-0004032","Child Care Home","NA","Pending","8/6/2020 3:15:47 PM","SAMRA SUBASIC LLC","3363 N Newport St  Denver 80207"
"2020-BFN-0001531","Retail Food Establishment","Restaurant - Stand-Up","Pending","3/9/2020 12:09:27 PM","FRESH TAKE LLC","4711  OPUS DR 210 COLORADO SPRINGS 80906"
"2020-BFN-0003692","Combined License","NA","Pending","7/17/2020 10:00:02 AM","LARAMAR NINE MILE STATION ASSOCIATES","3257 S Parker Rd  Denver 80014"
"2020-BFN-0005787","Retail Food Establishment","Restaurant - Temporary","Pending","11/4/2020 3:33:33 PM","Micro Taino Leaf LLC","2215  Court PL 407 Denver 80205"
"2020-BFN-0005509","Combined License","NA","Pending","10/23/2020 1:04:25 PM","THE CORNER BEET CO","1401 N Ogden St  Denver 80218"
"2020-BFN-0006204","Retail Food Establishment","Restaurant","Pending","11/23/2020 2:33:23 PM","TROPICO INC","1502 W Alameda Ave  Denver 80223"
"2018-BFN-0007981","Combined License","NA","Pending","10/22/2018 3:33:00 PM","YATES TAVERN, LLC","4979 W 44th Ave  Denver 80212"
"2019-BFN-0001590","Combined License","NA","Pending","2/25/2019 12:26:56 PM","LARIMER HALL CORP","2200  Larimer St  Denver 80205"
"2021-BFN-0002077","Retail Food Establishment","Mobile","Pending","4/8/2021 10:09:45 AM","LEO'S SOFT SERVE ICE CREAM LLC","1429 S University Blvd  Denver 80210"
"2020-BFN-0000811","Retail Food Establishment","Restaurant","Pending","2/5/2020 11:32:35 AM","NEVERIA CHAMOY LLC","10101 E Hampden Ave 103 Denver 80231"
"2020-BFN-0000848","Food - Retail","Multi-Use","Pending","2/6/2020 2:12:21 PM","PADOCA LLC","950 N Jersey St  Denver 80220"
"2020-BFN-0002384","Combined License","NA","Pending","5/6/2020 1:12:09 PM","INDIAN PEAKS BREWING COMPANY","2403  Champa St  Denver 80205"
"2020-BFN-0002806","Swimming Pool","NA","Pending","6/3/2020 10:27:35 AM","MVI-MODERN LLC","6301 W Hampden Ave  Denver 80227"
"2020-BFN-0003312","Combined License","NA","Pending","6/29/2020 11:47:00 AM","NASH - HOLLAND 99 SOUTH BROADWAY INVESTORS LLC","99 S Broadway   Denver 80209"
"2020-BFN-0003694","Retail Food Establishment","Restaurant - Temporary","Pending","7/17/2020 10:45:57 AM","Chopped Liver LLC DBA Boychik","2505 S Linley CT  Denver 80219"
"2020-BFN-0003740","Swimming Pool","NA","Pending","7/21/2020 12:43:40 PM","ACES SWIM CLUB","775  AKRON VLY  DENVER 80122"
"2020-BFN-0003610","Retail Food Establishment","Restaurant","Pending","7/14/2020 10:40:23 AM","CO RAMEN 1 LLC","1710  Wynkoop St  Denver 80202"
"2020-BFN-0002624","Swimming Pool","NA","Pending","5/20/2020 2:21:54 PM","CPF CREEKSIDE LLCE","5250 E Cherry Creek South Dr  Denver 80246"
"2020-BFN-0003496","Private Security Employer","NA","Pending","7/8/2020 2:36:11 PM","Denver Botanic gardens","      "
"2020-BFN-0002544","Retail Food Establishment","Restaurant","Pending","5/15/2020 10:31:40 AM","BEST ONE NUTRITION AND FITNESS","4896 N Chambers Rd  Denver 80239"
"2020-BFN-0002178","Swimming Pool","NA","Pending","4/23/2020 2:03:25 PM","CR CAMBRIDGE COMMUNITIES LLC","1260 S Bellaire St  Denver 80246"
"2020-BFN-0002199","Retail Food Establishment","Restaurant - Temporary","Pending","4/24/2020 9:37:04 AM","Olive & Finch, Comm","4609 E Colfax AVE  Denver 80220"
"2020-BFN-0003803","Swimming Pool","NA","Pending","7/24/2020 1:00:22 PM","URBAN NEIGHBORHOOD DENVER EDGE LLC","4600 E Kentucky Ave  Denver 80246"
"2020-BFN-0004111","Boarding Home","NA","Pending","8/12/2020 8:43:06 AM","OPEN ARMS ASSISTED LIVING","12150 E Andrews Dr  Denver 80239"
"2020-BFN-0006008","Combined License","NA","Pending","11/16/2020 2:59:06 PM","LMC WELTON HOLDINGS, LP","2100  Welton St  Denver 80205"
"2020-BFN-0006045","Food - Wholesale","Fresh Meats, Fish, Caterers","Pending","11/17/2020 3:04:58 PM","MAKERS KITCHEN LLC","1460 N Leyden St  Denver 80220"
"2020-BFN-0006337","Combined License","NA","Pending","11/30/2020 1:35:52 PM","EXCEL DENVER LLC","6805 N Argonne St  Denver 80249"
"2020-BFN-0004940","Lodging Facility","NA","Pending","9/25/2020 11:51:13 AM","KASH LLC","930 E Colfax Ave  Denver 80218"
"2020-BFN-0006613","Combined License","NA","Pending","12/8/2020 10:27:19 AM","NOZUMI INC","4100 N Tejon St  Denver 80211"
"2020-BFN-0006737","Short Term Rental","NA","Pending","12/10/2020 10:06:21 AM","CHRISTIAN STIFANOS BEYENE","20204 E Robins DR  Denver 80249"
"2020-BFN-0005066","Retail Food Establishment","Restaurant","Pending","10/1/2020 1:56:35 PM","NEVERIA EL ALAMO LLC","439 S Federal Blvd  Denver 80219"
"2020-BFN-0006878","Retail Food Establishment","Restaurant","Pending","12/14/2020 3:06:57 PM","SODEXO AMERICA LLC","2055 E Evans Ave  Denver 80210"
"2020-BFN-0005416","Retail Food Establishment","Restaurant - Temporary","Pending","10/20/2020 1:20:06 PM","POLLOS Y BALIADAS YESY LLC","2978 W Mexico AVE  Denver 80219"
"2020-BFN-0005473","Combined License","NA","Pending","10/22/2020 12:24:59 PM","SPEEDY'S LLC","40 E 11th Ave  Denver 80203"
"2020-BFN-0005304","Combined License","NA","Pending","10/14/2020 9:53:23 AM","YORK STREET RESIDENCES LLC","1781 N York St  Denver 80206"
"2020-BFN-0007088","Retail Tobacco Store","NA","Pending","12/18/2020 8:44:11 AM","Zuni GS LLC","2727 N Zuni ST  Denver 80211"
"2020-BFN-0007162","Liquor","Retail","Pending","12/21/2020 12:30:33 PM","BLEND BEER WINE & SPIRITS, LLC","3435 E 1st Ave  Denver 80206"
"2020-BFN-0005437","Food - Wholesale","Fresh Meats, Fish, Caterers","Pending","10/21/2020 9:46:41 AM","MOUNTAIN MEADOWS LAMB CORP INC","4900 N Clarkson St  Denver 80216"
"2021-BFN-0000064","Combined License","NA","Pending","1/5/2021 3:04:06 PM","METLIFE CORE PROPERTY REIT LLC","3550 W 38th Ave  Denver 80211"
"2020-BFN-0004506","Lodging Facility","NA","Pending","9/2/2020 8:53:53 AM","JSM REAL ESTATE LLC","2732 W 29th  200 Denver 80211"
"2020-BFN-0006264","Retail Tobacco Store","NA","Pending","11/24/2020 3:59:28 PM","Headrush Smoke Shop,Inc","606 E 13th AVE  Denver 80203"
"2020-BFN-0007138","Combined License","NA","Pending","12/21/2020 8:16:01 AM","ROCKY MOUNTAIN RESTAURANT GROUP INC","3033 E 1st Ave  Denver 80206"
"2020-BFN-0005585","Garage - Repair of Motor Vehic","NA","Pending","10/27/2020 1:46:52 PM","DENVER HEALTH AND HOSPITAL AUTHORITY","3830 N Kearney St  Denver "
"2020-BFN-0007350","Retail Tobacco Store","NA","Pending","12/28/2020 2:44:20 PM","Triple Merchandise Inc.","6487  Leetsdale DR  Denver 80224"
"2021-BFN-0000045","Retail Marijuana Inf Prod Mfg","NA","Pending","1/5/2021 5:37:13 AM","CHECKER SIX LLC","1120 N Yuma Ct  Denver 80204"
"2020-BFN-0007154","Retail Tobacco Store","NA","Pending","12/21/2020 11:20:42 AM","Abdussalam Shadi","4500 N Washington ST A Denver 80216"
"2020-BFN-0007074","Retail Food Establishment","Restaurant","Pending","12/17/2020 3:23:41 PM","WENDY'S PROPERTIES LLC","201 E 6th Ave  Denver 80203"
"2021-BFN-0000130","Retail Food Establishment","Restaurant - Temporary","Pending","1/7/2021 2:36:07 PM","High Country Almonds","36691  Cr 102    "
"2021-BFN-0001322","Tree Service Company","NA","Pending","3/3/2021 2:35:33 PM","TRISTAN PERRY","177 W MAPLE AVE  DENVER 80223"
"2021-BFN-0001433","Retail Marijuana Store","NA","Pending","3/8/2021 11:50:27 PM","YUMA UNIQUE LLC","6901 E Colfax Ave  Denver 80220"
"2021-BFN-0001069","Short Term Rental","NA","Pending","2/18/2021 3:39:34 PM","MARK ROSENTHAL","2957  Curtis ST  Denver 80205"
"2021-BFN-0001419","Child Care","Center","Pending","3/8/2021 1:42:05 PM","KinderCare Learning Centers LLC","2200 S Holly ST  Denver 80222"
"2021-BFN-0000268","Retail Food Establishment","Restaurant","Pending","1/13/2021 12:51:26 PM","CANALES RESTAURANT LLC","6500 E Smith Rd  Denver 80207"
"2021-BFN-0001386","Combined License","NA","Pending","3/5/2021 2:38:58 PM","DHC DENVER BROADWAY, LLC","99 S Broadway  119 Denver "
"2021-BFN-0001253","Body Art Est - Permanent","NA","Pending","3/1/2021 1:50:09 PM","THICK AS THIEVES TATTOO LLC","4610 E Colfax Ave  Denver 80220"
"2021-BFN-0000963","Short Term Rental","NA","Pending","2/13/2021 11:18:54 AM","JENNIFER WATSON","2501 N Grove ST 105 Denver 80211"
"2021-BFN-0001079","Short Term Rental","NA","Pending","2/19/2021 8:44:18 AM","KIMBERLEE TESSEAN","2396 S Bellaire ST  Denver 80222"
"2021-BFN-0001249","Retail Food Establishment","Mobile","Pending","3/1/2021 9:13:28 AM","RUTH VIGIL NAPOLI","3346 N Perry St  Denver 80212"
"2021-BFN-0000870","Combined License","NA","Pending","2/10/2021 11:09:22 AM","INTONGKAM BROTHERS LLC","2637 W 26th Ave  Denver 80211"
"2021-BFN-0001352","Retail Food Establishment","Restaurant - Temporary","Pending","3/4/2021 2:31:25 PM","Hungry Heart Kitchens LLC","3201 S Flamingo WAY  Denver 80222"
"2021-BFN-0001323","Lodging Facility","NA","Pending","3/3/2021 3:20:52 PM","PRINCE HOSPITALITY DENVER","4757 N Vasquez Blvd  Denver 80216"
"2021-BFN-0001306","Child Care","Center","Pending","3/3/2021 10:35:12 AM","Summer Scholars","21601 E 51st PL  Denver 80249"
"2021-BFN-0000665","Combined License","NA","Pending","2/1/2021 7:53:05 AM","NIBS MARKETING LLC","1413  Larimer St  Denver 80202"
"2021-BFN-0000924","Garage - Repair of Motor Vehic","NA","Pending","2/11/2021 3:18:25 PM","BRIDGESTONE RETAIL OPERATIONS LLC","8555 W Belleview Ave A01 Denver 80123"
"2021-BFN-0001302","Body Art Est - Permanent","NA","Pending","3/3/2021 10:11:05 AM","TRIBE TATTOO LLC","698 N Santa Fe Dr  Denver 80204"
"2021-BFN-0002227","Retail Tobacco Store","NA","Pending","4/13/2021 2:10:06 PM","ram ghimire","3755 N Federal BLVD  Denver 80211"
"2021-BFN-0002233","Short Term Rental","NA","Pending","4/13/2021 2:29:24 PM","DARRYN MCLAUGHLAN","2152 S Delaware ST  Denver 80223"
"2021-BFN-0002235","Retail Food Establishment","Restaurant","Pending","4/13/2021 2:40:16 PM","VIBE COFFEE & WINE LLC","1490  Curtis St  Denver "
"2021-BFN-0001573","Food - Wholesale","Fresh Meats, Fish, Caterers","Pending","3/17/2021 10:04:04 AM","DENVER EXPRESS FOODS, LLC","4986  MORRISON RD  DENVER 80219"
"2021-BFN-0001580","Retail Food Establishment","Restaurant","Pending","3/17/2021 11:28:39 AM","DAZBOG PTARMIGAN LLC","3773 E Cherry Creek North Dr 175 Denver 80209"
"2021-BFN-0002261","Combined License","NA","Pending","4/14/2021 11:30:22 AM","TARGET CORPORATION","93 N Quebec St  Denver "
"2021-BFN-0002290","Med Marijuana Inf Prod Manuf","NA","Pending","4/14/2021 5:20:42 PM","CHECKER SIX LLC","1120 N Yuma Ct  Denver 80204"
"2021-BFN-0002297","Retail Marijuana Inf Prod Mfg","NA","Pending","4/15/2021 8:49:01 AM","THE VIVID TEAM","5060 N Logan St 102 Denver "
"2021-BFN-0001782","Child Care","Center","Pending","3/25/2021 1:31:01 PM","Summer Scholars","845 S Lowell BLVD  Denver 80219"
"2021-BFN-0001786","Child Care","Center","Pending","3/25/2021 1:42:20 PM","Summer Scholars","14250 E Albrook DR  Denver 80239"
"2021-BFN-0001630","Short Term Rental","NA","Pending","3/18/2021 9:23:05 PM","BRENNA FORD","3204 N Josephine ST  Denver 80205"
"2021-BFN-0001633","Food - Retail","Multi-Use","Pending","3/19/2021 8:29:41 AM","CF ALTITUDE LLC","1989 W Mississippi Ave  Denver 80223"
"2021-BFN-0001634","Retail Food Establishment","Mobile","Pending","3/19/2021 8:53:23 AM","ANDALE ANDALE LLC","6250 N FEDERAL BLVD #2 DENVER "
"2021-BFN-0002322","Short Term Rental","NA","Pending","4/15/2021 7:46:40 PM","JAMES MUSTO","2825 S Zuni ST  Denver 80236"
"2021-BFN-0002334","Food - Retail","Fresh Meats & Fish","Pending","4/16/2021 12:50:54 PM","DRUNKEN BAKERY LLC","530 N Knox Ct 110 Denver 80204"
"2021-BFN-0001661","Retail Marijuana Store","NA","Pending","3/22/2021 7:08:34 AM","MAGIC CITY FARMS 2 LLC","3819 N Quentin St  Denver 80239"
"2021-BFN-0002348","Retail Food Establishment","Mobile","Pending","4/16/2021 2:55:25 PM","LOS CHAVEZ LLC","1229 S CANOSA CT  DENVER 80219"
"2021-BFN-0002359","Retail Marijuana Inf Prod Mfg","NA","Pending","4/16/2021 8:00:33 PM","GOOD LIFE COLORADO LLC","5475 N Peoria St 4-110 Denver 80239"
"2021-BFN-0002370","Combined License","NA","Pending","4/19/2021 10:00:01 AM","JME INC","1553  Platte  110&120 Denver 80202"
"2021-BFN-0001674","Combined License","NA","Pending","3/22/2021 12:41:18 PM","MYRON GREEN CORPORATION","1020  16th St  Denver 80202"
"2021-BFN-0001686","Retail Tobacco Store","NA","Pending","3/22/2021 4:15:00 PM","Centennial Vapor, INC","2323 E Evans AVE  Denver 80210"
"2021-BFN-0002389","Med Marijuana Inf Prod Manuf","NA","Pending","4/19/2021 2:51:56 PM","CULTIV8 PARIS MFG INC","3795 N Paris St A Denver 80239"
"2021-BFN-0002390","Retail Food Establishment","Restaurant","Pending","4/19/2021 3:11:28 PM","BEYOND THAI CAFE","1030 E 22nd Ave  Denver 80205"
"2021-BFN-0002399","Short Term Rental","NA","Pending","4/20/2021 9:32:53 AM","CHRIS CHITESTER","680 N Hooker ST  Denver 80204"
"2021-BFN-0001863","Child Care","Center","Pending","3/30/2021 11:44:47 AM","The Jewish Life Center","7505 E 35th AVE 340 Denver 80238"
"2021-BFN-0002403","Retail Food Establishment","Restaurant","Pending","4/20/2021 10:18:03 AM","DHC DENVER BROADWAY, LLC","99 S Broadway  119 Denver "
"2021-BFN-0002404","Short Term Rental","NA","Pending","4/20/2021 10:23:00 AM","MARK CASPER","1365 N Adams ST  Denver 80206"
"2021-BFN-0002406","Short Term Rental","NA","Pending","4/20/2021 10:52:46 AM","ANDREW SIEKMEIER","2301 S Marion ST  Denver 80210"
"2021-BFN-0002408","Parking Lot, Garage","NA","Pending","4/20/2021 11:24:37 AM","PARKWELL LLC","1745 S Sherman St  Denver 80210"
"2021-BFN-0002416","Med Marijuana Inf Prod Manuf","NA","Pending","4/20/2021 1:01:44 PM","YUMA WAY LLC","1232 S Bannock St  Denver 80223"
"2021-BFN-0002434","Retail Food Establishment","Restaurant","Pending","4/20/2021 4:07:44 PM","HT ENTERPRISE LLC","1998 N Downing St  Denver 80218"
"2021-BFN-0001892","Child Care","Center","Pending","3/31/2021 7:35:11 AM","","2695 S Monaco Street PKWY  Denver "
"2021-BFN-0001897","Body Art Est - Permanent","NA","Pending","3/31/2021 10:19:04 AM","JENNIFER PEASE","3928 N Federal Blvd  Denver 80211"
"2021-BFN-0002064","Retail Food Establishment","Restaurant","Pending","4/7/2021 3:43:38 PM","3G3 BROADWAY LLC","24 N Broadway   Denver 80203"
"2021-BFN-0002074","Retail Food Establishment","Restaurant","Pending","4/8/2021 8:13:31 AM","CRAB ANDD SHELL CAJUN SEAFOOD INC","2819 E Colfax Ave  Denver 80206"
"2021-BFN-0002082","Retail Food Establishment","Restaurant","Pending","4/8/2021 11:31:10 AM","CONCESSIONS COLORADO, LLC","8900  Pena Blvd BC-RJ2 Denver "
"2021-BFN-0001538","Retail Food Establishment","Restaurant","Pending","3/15/2021 1:32:14 PM","NIBS MARKETING LLC","1413  Larimer St  Denver 80202"
"2021-BFN-0002119","Auto Parts Recycler","NA","Pending","4/9/2021 6:04:09 AM","B&D RECYCLING LLC","5301 N Monroe St  Denver 80216"
"2021-BFN-0001971","Combined License","NA","Pending","4/2/2021 1:03:03 PM","UNWINED ON BROADWAY LLC","114 S Broadway   Denver 80209"
"2021-BFN-0002124","Combined License","NA","Pending","4/9/2021 10:43:34 AM","SERVICE PLUS COMMUNITY MANAGEMENT","2525 S Dayton Way  Denver 80231"
"2021-BFN-0002465","Retail Food Establishment","Restaurant - Temporary","Pending","4/21/2021 3:04:09 PM","The Real Group LLc","6271  Beach    "
"2021-BFN-0002008","Short Term Rental","NA","Pending","4/5/2021 5:30:56 PM","JUSTIN THERIAULT","2125 N Grove ST  Denver 80211"
"2021-BFN-0002160","Short Term Rental","NA","Pending","4/12/2021 10:30:46 AM","JAMES KIMBER","2478 S Delaware ST 1 Denver 80223"
"2021-BFN-0002161","Combined License","NA","Pending","4/12/2021 10:33:35 AM","SOCIETY LLC","3090 N Downing St  Denver 80205"
"2021-BFN-0002194","Retail Food Establishment","Mobile","Pending","4/12/2021 3:39:12 PM","EL VAQUERO DE ARRANDAS LLC","4114  Morrison Rd  Denver 80219"
"2021-BFN-0002201","Retail Marijuana Inf Prod Mfg","NA","Pending","4/12/2021 10:12:17 PM","BLUEBIRD JASON LLC","4500 N Jason St  Denver 80211"
"2018-BFN-0006989","Combined License","NA","Pending","9/17/2018 12:45:29 PM","ENIGMA BAZAAR LLC","4923 W 38th Ave  Denver 80212"
"2019-BFN-0010040","Retail Food Establishment","Restaurant - Temporary","Pending","10/15/2019 3:41:45 PM","","      "
"2019-BFN-0011606","Food - Wholesale","Fresh Milk & Dairy","Pending","12/17/2019 3:26:04 PM","COMPASS GROUP USA INC","123 N Yuma St  Denver 80223"
"2020-BFN-0003637","Retail Tobacco Store","NA","Pending","7/15/2020 9:41:54 AM","Thuy Pham and Louis Nguyen local","1906 E Colfax AVE  Denver 80206"
"2020-BFN-0001408","Combined License","NA","Pending","3/4/2020 11:06:02 AM","DENVER FGD, LLC","1750  Wewatta St  Denver 80202"
"2020-BFN-0002935","Retail Food Establishment","Restaurant - Temporary","Pending","6/9/2020 3:09:36 PM","Goodberry, LLC","13918  E Mississippi Ave #187    "
"2020-BFN-0001608","Combined License","NA","Pending","3/11/2020 12:32:13 PM","A.R. TEHRANI INC","1506 S Federal Blvd  Denver 80219"
"2020-BFN-0004082","Retail Food Establishment","Restaurant - Temporary","Pending","8/11/2020 10:48:29 AM","Denver Kitchen Share","4897  Oakland    "
"2020-BFN-0004244","Combined License","NA","Pending","8/19/2020 1:10:47 PM","THIRSTY CARNIVORE LLC","4720 N Tejon St  Denver 80211"
"2020-BFN-0002474","Food - Retail","Multi-Use","Pending","5/12/2020 3:15:04 PM","FOODMAVEN CORPORATION","3755  Wazee St  Denver 80216"
"2020-BFN-0005132","Short Term Rental","NA","Pending","10/6/2020 9:21:17 AM","VICTORIA BAUMAN","3842 N Quivas ST  Denver 80211"
"2020-BFN-0004483","Tree Service Company","NA","Pending","9/1/2020 8:33:11 AM","VINCENT JUSTICE","943 S ZENO WAY UNIT 205 AURORA 80017"
"2020-BFN-0005418","Tree Service Company","NA","Pending","12/31/2021 12:00:00 AM","JOHN HENRY","23460 E RIXBURY DR UNIT 205 AURORA 80016"
"2020-BFN-0006130","Swimming Pool","NA","Pending","11/19/2020 11:18:19 AM","250 COLUMBINE ASSOCIATION INC","250 N Columbine St  Denver 80206"
"2020-BFN-0004585","Retail Food Establishment","Restaurant","Pending","9/8/2020 11:12:35 AM","CAVA MEZZE GRILL, LLC","4084 E 8th Pl  Denver "
"2020-BFN-0005492","Retail Tobacco Store","NA","Pending","10/22/2020 6:08:46 PM","","970 S Oneida ST 11 Denver 80224"
"2020-BFN-0006800","Combined License","NA","Pending","12/11/2020 1:13:46 PM","FIVE POINTS CREAMERY, LLC","2716  Welton St  Denver 80205"
"2020-BFN-0006806","Retail Food Establishment","Restaurant","Pending","12/11/2020 2:11:53 PM","ALADDIN MEDITERRANIAN GRILL LLC","3550 W 38th Ave  Denver 80211"
"2020-BFN-0005173","Retail Food Establishment","Restaurant","Pending","10/7/2020 11:24:44 AM","PANDA EXPRESS INC","5625 N Beeler   Denver 80238"
"2020-BFN-0005566","Valet Location License","NA","Pending","10/26/2020 12:36:50 PM","COLORADO VALETS LLC","4901 S Newport St  Denver 80237"
"2020-BFN-0007103","Liquor","Retail","Pending","12/18/2020 12:16:58 PM","FTF KNOX INC","530 N Knox  140-150 Denver 80204"
"2020-BFN-0005583","Garage - Repair of Motor Vehic","NA","Pending","10/27/2020 1:38:09 PM","DENVER HEALTH AND HOSPITAL AUTHORITY","6101 E 38th Ave  Denver 80207"
"2020-BFN-0005602","Food - Retail","Multi-Use","Pending","10/28/2020 7:49:47 AM","KRAUSE GROUP LTD","1610  Little Raven St 100 Denver 80202"
"2020-BFN-0004835","Retail Food Establishment","Restaurant","Pending","9/21/2020 10:02:57 AM","JERUSALEM RESTAURANT INC","1890 E Evans Ave  Denver 80210"
"2020-BFN-0005679","Retail Food Establishment","Restaurant","Pending","10/30/2020 8:54:26 AM","LOS MOLINOS RESTAURANT","1603 E Bruce Randolph Ave  Denver 80205"
"2020-BFN-0005163","Retail Food Establishment","Restaurant - Stand-Up","Pending","10/7/2020 8:37:21 AM","FRESH TAKE LLC","4711  OPUS DR 210 COLORADO SPRINGS 80906"
"2020-BFN-0006484","Food - Retail","Fresh Meats & Fish","Pending","12/4/2020 8:52:37 AM","A-MART SUPER STORE INC","3770 E 40th Ave  Denver 80205"
"2020-BFN-0006243","Retail Tobacco Store","NA","Pending","11/24/2020 2:06:44 PM","T & J Enterprises, Inc.","2609 N Federal BLVD  Denver 80211"
